1000 1
421 0 2209
422 0 2194
423 0 2124
424 0 2173
425 0 2138
426 0 1941
427 0 2090
428 0 2059
429 0 2032
43 0 2093
430 0 1985
431 0 2156
432 0 2093
433 0 1915
434 0 2049
435 0 1961
436 0 2072
437 0 2022
438 0 2064
439 0 2038
44 0 2045
440 0 1970
441 0 2038
442 0 2186
443 0 2023
444 0 1964
445 0 1921
446 0 2106
447 0 2055
448 0 1987
449 0 2043
45 0 2104
450 0 2216
451 0 2224
452 0 2093
453 0 1973
454 0 2093
455 0 2071
456 0 2087
457 0 2060
458 0 2164
459 0 2045
46 0 1970
460 0 2033
461 0 2084
462 0 2091
463 0 2177
464 0 2115
465 0 1952
466 0 2186
467 0 2154
468 0 2136
469 0 2236
47 0 2010
470 0 2074
471 0 2108
472 0 1887
473 0 1977
474 0 2079
475 0 1894
476 0 2043
477 0 2033
478 0 2114
479 0 2048
48 0 2050
480 0 2087
481 0 2107
482 0 2115
483 0 2281
484 0 2183
485 0 2003
486 0 2110
487 0 2101
488 0 2200
489 0 1899
49 0 2076
490 0 2034
491 0 2056
492 0 2035
493 0 2198
494 0 2075
495 0 2026
496 0 2112
497 0 1896
498 0 2075
499 0 2136
5 0 1906
50 0 1977
500 0 2081
501 0 2041
502 0 2130
503 0 2058
504 0 2030
505 0 2208
506 0 2147
507 0 1927
508 0 2153
509 0 2152
51 0 1967
510 0 2070
511 0 2154
512 0 1955
513 0 2010
514 0 2058
515 0 2121
516 0 2102
517 0 2092
518 0 2079
519 0 2031
52 0 2047
520 0 2153
521 0 2117
522 0 2088
523 0 2003
524 0 2256
525 0 2159
526 0 1941
527 0 2029
528 0 2087
529 0 2149
53 0 2168
530 0 2127
531 0 2143
532 0 2054
533 0 2074
534 0 1985
535 0 2151
536 0 2183
537 0 2059
538 0 2149
539 0 2079
54 0 1895
540 0 2138
541 0 2148
542 0 2241
543 0 2023
544 0 1903
545 0 1981
546 0 2048
547 0 2217
548 0 2275
549 0 2123
55 0 1974
550 0 2055
551 0 2132
552 0 2051
553 0 2146
554 0 2078
555 0 1930
556 0 2094
557 0 2106
558 0 2081
559 0 2062
56 0 2091
560 0 2057
561 0 2157
562 0 2188
563 0 2122
564 0 2000
565 0 2220
566 0 1989
567 0 2072
568 0 2241
569 0 2131
57 0 2057
570 0 2080
571 0 2111
572 0 1968
573 0 2057
574 0 2042
575 0 1975
576 0 2046
577 0 2047
578 0 2113
579 0 2021
58 0 2030
580 0 2127
581 0 1841
582 0 2188
583 0 2193
584 0 2110
585 0 2072
586 0 2082
587 0 2109
588 0 2132
589 0 2095
59 0 2063
590 0 2070
591 0 2017
592 0 2017
593 0 2086
594 0 1992
595 0 2130
596 0 2054
597 0 2075
598 0 2023
599 0 2084
6 0 2122
60 0 1974
600 0 1936
601 0 1925
602 0 2117
603 0 2204
604 0 2064
605 0 2064
606 0 2044
607 0 2117
608 0 1987
609 0 2026
61 0 2136
610 0 2102
611 0 2093
612 0 2053
613 0 2083
614 0 2128
615 0 2045
616 0 2108
617 0 2151
618 0 2120
619 0 2015
62 0 2099
620 0 2062
621 0 1890
622 0 2148
623 0 2093
624 0 2059
625 0 2068
626 0 2005
627 0 2110
628 0 2074
629 0 2154
63 0 2116
630 0 2069
631 0 2117
632 0 2098
633 0 2132
634 0 2111
635 0 2055
636 0 2022
637 0 1986
638 0 1990
639 0 2125
64 0 2029
640 0 2075
641 0 2044
642 0 2013
643 0 2001
644 0 1918
645 0 2039
646 0 2006
647 0 1934
648 0 2047
649 0 1914
65 0 2043
650 0 2025
651 0 2177
652 0 2211
653 0 2015
654 0 2170
655 0 2017
656 0 2024
657 0 2094
658 0 1968
659 0 2002
66 0 1989
660 0 2054
661 0 1984
662 0 2143
663 0 1945
664 0 2103
665 0 2130
666 0 1991
667 0 2085
668 0 1992
669 0 2050
67 0 1900
670 0 1987
671 0 2129
672 0 1974
673 0 2094
674 0 2165
675 0 2025
676 0 2098
677 0 1968
678 0 2099
679 0 1957
68 0 2151
680 0 2076
681 0 2123
682 0 2011
683 0 2033
684 0 2087
685 0 2035
686 0 1966
687 0 1981
688 0 2102
689 0 2103
69 0 2090
690 0 2014
691 0 2141
692 0 2014
693 0 1955
694 0 2060
695 0 2082
696 0 2155
697 0 1996
698 0 2031
699 0 2059
7 0 2122
70 0 2142
700 0 1972
701 0 2018
702 0 2194
703 0 2076
704 0 2031
705 0 1865
706 0 2145
707 0 2061
708 0 2214
709 0 2095
71 0 2051
710 0 2150
711 0 2127
712 0 2065
713 0 2073
714 0 1985
715 0 2063
716 0 2003
717 0 2143
718 0 2146
719 0 2028
72 0 2183
720 0 2137
721 0 2277
722 0 1971
723 0 2073
724 0 2062
725 0 2132
726 0 2042
727 0 2114
728 0 2033
729 0 2054
73 0 1984
730 0 2076
731 0 2001
732 0 2057
733 0 2049
734 0 2126
735 0 1964
736 0 1975
737 0 1970
738 0 2088
739 0 2063
74 0 1916
740 0 1995
741 0 2006
742 0 2055
743 0 1995
744 0 2195
745 0 2068
746 0 2014
747 0 2237
748 0 2069
749 0 2074
75 0 2017
750 0 2111
751 0 1995
752 0 2137
753 0 1981
754 0 2164
755 0 1968
756 0 1927
757 0 2041
758 0 2038
759 0 2037
76 0 1944
760 0 1985
761 0 2048
762 0 2048
763 0 2047
764 0 2029
765 0 1986
766 0 2085
767 0 2065
768 0 2074
769 0 2063
77 0 2058
770 0 2013
771 0 2034
772 0 2055
773 0 2128
774 0 2025
775 0 2092
776 0 2057
777 0 1996
778 0 2063
779 0 2087
78 0 2117
780 0 2195
781 0 2152
782 0 2051
783 0 2108
784 0 2073
785 0 2170
786 0 2127
787 0 2144
788 0 2055
789 0 2109
79 0 1984
790 0 1917
791 0 2071
792 0 2098
793 0 2082
794 0 2053
795 0 2222
796 0 2032
797 0 1860
798 0 2204
799 0 2029
8 0 2022
80 0 2165
800 0 2054
801 0 2111
802 0 2094
803 0 2079
804 0 2120
805 0 2006
806 0 1901
807 0 2153
808 0 2089
809 0 2130
81 0 2046
810 0 1936
811 0 1991
812 0 2145
813 0 2181
814 0 2012
815 0 2190
816 0 2266
817 0 2042
818 0 1971
819 0 1980
82 0 2114
820 0 2072
821 0 1969
822 0 1932
823 0 2060
824 0 1908
825 0 1988
826 0 2202
827 0 2202
828 0 2028
829 0 2184
83 0 2248
830 0 2223
831 0 2112
832 0 2101
833 0 2070
834 0 2172
835 0 2129
836 0 2091
837 0 2050
838 0 2101
839 0 2040
84 0 2203
840 0 2178
841 0 2065
842 0 1963
843 0 2105
844 0 1998
845 0 1959
846 0 2021
847 0 2108
848 0 2093
849 0 2132
85 0 2057
850 0 2192
851 0 2223
852 0 2048
853 0 2057
854 0 2042
855 0 2098
856 0 2059
857 0 2174
858 0 2212
859 0 1962
86 0 2067
860 0 2166
861 0 1960
862 0 2107
863 0 2152
864 0 1925
865 0 1994
866 0 2165
867 0 2195
868 0 2026
869 0 2030
87 0 2128
870 0 1994
871 0 2079
872 0 2112
873 0 2085
874 0 2108
875 0 2099
876 0 2078
877 0 2044
878 0 2115
879 0 2013
88 0 2241
880 0 2105
881 0 2072
882 0 2076
883 0 2025
884 0 1973
885 0 2115
886 0 2078
887 0 2124
888 0 2022
889 0 2170
89 0 1932
890 0 2016
891 0 2006
892 0 2073
893 0 1988
894 0 2149
895 0 2136
896 0 2150
897 0 2028
898 0 2183
899 0 2012
9 0 2036
90 0 2016
900 0 2084
901 0 1960
902 0 2072
903 0 1982
904 0 2140
905 0 2011
906 0 1964
907 0 2073
908 0 2134
909 0 1933
91 0 2094
910 0 2060
911 0 2050
912 0 1931
913 0 1915
914 0 1944
915 0 2094
916 0 2138
917 0 1994
918 0 2121
919 0 2068
92 0 2227
920 0 2128
921 0 2203
922 0 2005
923 0 2013
924 0 2104
925 0 1999
926 0 2117
927 0 2022
928 0 2048
929 0 2062
93 0 2147
930 0 2042
931 0 1913
932 0 2017
933 0 1947
934 0 1970
935 0 2132
936 0 2122
937 0 2002
938 0 2120
939 0 2095
94 0 2095
940 0 2146
941 0 2084
942 0 2194
943 0 2046
944 0 2151
945 0 2034
946 0 2061
947 0 2124
948 0 1868
949 0 2095
95 0 2125
950 0 2088
951 0 2048
952 0 2102
953 0 2072
954 0 2102
955 0 2082
956 0 2144
957 0 2116
958 0 2027
959 0 1931
96 0 2141
960 0 2058
961 0 2069
962 0 2190
963 0 2071
964 0 2138
965 0 2073
966 0 2126
967 0 2117
968 0 2015
969 0 2033
97 0 2074
970 0 1994
971 0 2082
972 0 1980
973 0 1966
974 0 2090
975 0 2054
976 0 2028
977 0 2055
978 0 2201
979 0 2093
98 0 2138
980 0 2083
981 0 2062
982 0 2072
983 0 2028
984 0 2242
985 0 2055
986 0 2053
987 0 2002
988 0 2148
989 0 2017
99 0 2039
990 0 2171
991 0 2213
992 0 1952
993 0 2057
994 0 1942
995 0 2058
996 0 2027
997 0 2057
998 0 2172
999 0 1983
